chr	start	end	CredibleSet	nSNP	AnyCoding	AnyPromoter	AnySpliceSite	Disease	Source	LocusID	BestSNPPos	BestSNP	BestSNPNearestGene
chr2	109901746	109914765	chr2:108407736-111407736-1	7	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr2:108407736-111407736	109907735	2:109907736_CT_C	SH3RF3
chr10	106396327	106699211	chr10:105110839-108110839--1	66	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr10:105110839-108110839	106610838	rs1021363	SORCS3
chr11	88648737	88899604	chr11:87248162-90248162-1	78	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr11:87248162-90248162	88748161	rs10501696	GRM5
chr13	31713541	31941944	chr13:30416292-33416292--1	121	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr13:30416292-33416292	31916291	rs10870652	B3GLCT
chr2	124953762	125053392	chr2:123476163-126476163--1	83	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr2:123476163-126476163	124976162	rs11123030	CNTNAP5
chr5	103889997	104082178	chr5:102481726-105481726--1	12	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr5:102481726-105481726	103904225	rs12658032	NUDT12
chr14	75186009	75211974	chr14:73734830-76734830--1	5	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr14:73734830-76734830	75211974	rs12883575	FCF1
chr14	75212113	75298636	chr14:73734830-76734830-1	19	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr14:73734830-76734830	75234829	rs12889665	YLPM1
chr18	35125160	35179807	chr18:33638245-36638245-1	38	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr18:33638245-36638245	35138244	rs12967855	CELF4
chr18	53404985	53463660	chr18:51599012-54599012-2	17	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr18:51599012-54599012	53459904	rs1382119	TCF4
chr1	65944950	68495580	chr1:65554063-68554063--1	186	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr1:65554063-68554063	66528846	rs138599732	PDE4B
chr18	34988109	36637277	chr18:33638245-36638245--1	47	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr18:33638245-36638245	36620745	rs16971516	CELF4
chr14	104357987	104537679	chr14:102910305-105910305-1	6	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr14:102910305-105910305	104410304	rs17101957	TDRD9
chr9	10268348	11868072	chr9:9702702-12702702--1	303	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr9:9702702-12702702	10868339	rs191335059	PTPRD
chr14	102930196	104598999	chr14:102910305-105910305--1	207	TRUE	TRUE	FALSE	Depression_GP	191010-SUSIE	chr14:102910305-105910305	104437526	rs193065408	TDRD9
chr11	112357598	114784921	chr11:111874420-114874420--1	205	FALSE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr11:111874420-114874420	112826866	rs2212450	NCAM1
chr7	12266866	12283872	chr7:10750378-13750378--1	15	TRUE	FALSE	FALSE	Depression_GP	191010-SUSIE	chr7:10750378-13750378	12270624	rs2302635	TMEM106B
chr16	21609977	21728128	chr16:20114009-23114009--1	27	FALSE	TRUE	FALSE	Depression_GP	191010-SUSIE	chr16:20114009-23114009	21614008	rs2369818	METTL9
